Table with row headers in column A and column headers in row 4,,,,,,,,,,,
"CORE BASED STATISTICAL AREAS (CBSAs) AND COMBINED STATISTICAL AREAS (CSAs), ",,,,,,,,,,,
DECEMBER 2009,,,,,,,,,,,
CBSA Code,Metro Division Code,CSA Code,CBSA Title,Level of CBSA,"Status, 1=metro 2=micro",Metropolitan Division Title,CSA Title,Component Name,State,FIPS,County Status
12940,,132,"Baton Rouge, LA",Metropolitan Statistical Area,1,,"Baton Rouge-Pierre Part, LA",West Baton Rouge Parish,Louisiana,22121,Central
12940,,132,"Baton Rouge, LA",Metropolitan Statistical Area,1,,"Baton Rouge-Pierre Part, LA",West Feliciana Parish,Louisiana,22125,Outlying
12980,,,"Battle Creek, MI",Metropolitan Statistical Area,1,,,Calhoun County,Michigan,26025,Central
13020,,474,"Bay City, MI",Metropolitan Statistical Area,1,,"Saginaw-Bay City-Saginaw Township North, MI",Bay County,Michigan,26017,Central
13060,,288,"Bay City, TX",Micropolitan Statistical Area,2,,"Houston-Baytown-Huntsville, TX",Matagorda County,Texas,48321,Central
13100,,,"Beatrice, NE",Micropolitan Statistical Area,2,,,Gage County,Nebraska,31067,Central
13140,,,"Beaumont-Port Arthur, TX",Metropolitan Statistical Area,1,,,Hardin County,Texas,48199,Outlying
13140,,,"Beaumont-Port Arthur, TX",Metropolitan Statistical Area,1,,,Jefferson County,Texas,48245,Central
13140,,,"Beaumont-Port Arthur, TX",Metropolitan Statistical Area,1,,,Orange County,Texas,48361,Outlying
13180,,252,"Beaver Dam, WI",Micropolitan Statistical Area,2,,"Fond du Lac-Beaver Dam, WI",Dodge County,Wisconsin,55027,Central
13220,,138,"Beckley, WV",Micropolitan Statistical Area,2,,"Beckley-Oak Hill, WV",Raleigh County,West Virginia,54081,Central
13260,,,"Bedford, IN",Micropolitan Statistical Area,2,,,Lawrence County,Indiana,18093,Central
13300,,,"Beeville, TX",Micropolitan Statistical Area,2,,,Bee County,Texas,48025,Central
13340,,,"Bellefontaine, OH",Micropolitan Statistical Area,2,,,Logan County,Ohio,39091,Central
13380,,,"Bellingham, WA",Metropolitan Statistical Area,1,,,Whatcom County,Washington,53073,Central
13420,,,"Bemidji, MN",Micropolitan Statistical Area,2,,,Beltrami County,Minnesota,27007,Central
13460,,140,"Bend, OR",Metropolitan Statistical Area,1,,"Bend-Prineville, OR",Deschutes County,Oregon,41017,Central
13500,,,"Bennettsville, SC",Micropolitan Statistical Area,2,,,Marlboro County,South Carolina,45069,Central
13540,,,"Bennington, VT",Micropolitan Statistical Area,2,,,Bennington County,Vermont,50003,Central
13620,,,"Berlin, NH-VT",Micropolitan Statistical Area,2,,,Coos County,New Hampshire,33007,Central
13620,,,"Berlin, NH-VT",Micropolitan Statistical Area,2,,,Essex County,Vermont,50009,Outlying
13660,,,"Big Rapids, MI",Micropolitan Statistical Area,2,,,Mecosta County,Michigan,26107,Central
13700,,,"Big Spring, TX",Micropolitan Statistical Area,2,,,Howard County,Texas,48227,Central
13740,,,"Billings, MT",Metropolitan Statistical Area,1,,,Carbon County,Montana,30009,Outlying
13740,,,"Billings, MT",Metropolitan Statistical Area,1,,,Yellowstone County,Montana,30111,Central
13780,,,"Binghamton, NY",Metropolitan Statistical Area,1,,,Broome County,New York,36007,Central
13780,,,"Binghamton, NY",Metropolitan Statistical Area,1,,,Tioga County,New York,36107,Central
13820,,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,1,,"Birmingham-Hoover-Cullman, AL",Bibb County,Alabama,01007,Outlying
13820,,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,1,,"Birmingham-Hoover-Cullman, AL",Blount County,Alabama,01009,Outlying
13820,,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,1,,"Birmingham-Hoover-Cullman, AL",Chilton County,Alabama,01021,Outlying
13820,,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,1,,"Birmingham-Hoover-Cullman, AL",Jefferson County,Alabama,01073,Central
13820,,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,1,,"Birmingham-Hoover-Cullman, AL",St. Clair County,Alabama,01115,Outlying
13820,,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,1,,"Birmingham-Hoover-Cullman, AL",Shelby County,Alabama,01117,Central
